title;price;type;country;color;alcohol;age;vol;raw;class
Вино Villa Zvezda Cabernet Sauvignon Tsimlyansky Cherny 0,75 л;692;вино;;красное;13;;0,75;;
Вино Bardolino – Ducento 0,75 л;817;вино;италия;красное;;;0,75;;
Вино Cabernet Sauvignon – Finca del Mar – Vicende Gandia 0,75 л;538;вино;испания;красное;;;0,75;;
Вино Marchese Montefusco Pinot Grigio 2016 0,75 л;584;вино;италия;белое;;;0,75;;
Вино Rose – Pinot Grigio – Ducento 0,75 л;866;вино;италия;розовое;;;0,75;;
Вино Rosso – 4 вольте 25 0,75 л;650;вино;италия;красное;14;;0,75;;
Вино Rkatsiteli Marani 0,75 л;651;вино;грузия;белое;;;0,75;;
Вино Cabernet Sauvignon – Aves del Sur 0,75 л;880;вино;чили;красное;;;0,75;;
Вино Cabernet Sauvignon – Mezzacorona 0,75 л;659;вино;италия;красное;;;0,75;;
Вино Primitivo – Gold Release – Gran Duca 0,75 л;660;вино;италия;красное;;;0,75;;
Вино Salina Tempranillo;690;вино;испания;красное;;;0.75;;
Вино Reserve Chardonnay;730;вино;;белое;;;0,75;;
Вино Rose – Vinho Verde – Lago 0,75 л;730;вино;португалия;розовое;;;0,75;;
Вино Fyi Red Blended 0,75 л;730;вино;испания;красное;;;0,75;;
Вино Rose – Michel Torino 0,75 л;750;вино;аргентина;розовое;;;0,75;;
Вино Kindzmarauli GRW 0,75 л;790;вино;грузия;красное;;;0,75;;
Вино Kumala Reserve Chenin Blanc;790;вино;;белое;;;0,75;;
Вино Marani Pirosmani Red Semi-Dry;812;вино;грузия;красное;;;0,75;;
Вино Цинандали – Виниверия 0,75 л;820;вино;грузия;белое;;;0,75;;
Вино Douro Peccatore 2014 DO;826;вино;португалия;красное;;;0,75;;
Вино Carmenere Reserva – Tarapaca 0,75 л;892;вино;чили;красное;13,5;;0,75;;
Вино Sauvignon Blanc de Touraine Les Nuages – Loire Proprietes 0,75 л;919;вино;франция;белое;;;0,75;;
Вино Tsinandali Marani 0,75 л;927;вино;грузия;белое;;;0,75;;
Вино Kindzmarauli Koncho & Co 0,75 л;930;вино;грузия;красное;;;0,75;;
Вино Киси – Виниверия 0,75 л;940;вино;грузия;белое;;;0,75;;
Вино Torrontes Organic – Cuma 0,75 л;951;вино;аргентина;белое;;;0,75;;
Вино Nau Mai Sauvignon Blanc 0,75 л;950;вино;новая зеландия;белое;;;0,75;;
Вино Mona Strell;952;вино;испания;красное;;;0.75;;
Вино Chianti – Zonin 0,75 л;1020;вино;италия;красное;;;0,75;;
Вино Киси Кахетинское – Виниверия 0,75 л;1070;вино;грузия;белое;;;0,75;;
Вино Kisi Kvevri Koncho & Co 0,75 л;1090;вино;грузия;белое;;;0,75л;;
Вино Оджалеши – Картули Вази 0,75 л;1513;вино;грузия;красное;;;0,75;;
Вино Malbec Reserve – Don David 0,75 л;1150;вино;аргентина;красное;;;0,75;;
Вино Kindzmarauli - Marani 0,75 л;1157;вино;грузия;красное;;;0,75;;
Вино Chianti Classico – Vespucci 0,75 л;1548;вино;италия;красное;;;0,75;;
Вино Crianza – Rey Noble – Zorzal 0,75 л;1170;вино;испания;красное;;;0,75;;
Вино Merlot – Esse 0,75 л;1195;вино;россия;красное;;;0,75;;
Вино Boathshed Bay Sauvignon Blanc 0,75 л;1330;вино;новая зеландия;белое;;;0,75;;
Вино Киндзмараули – Братья Асканели 0,75 л;1151;вино;грузия;красное;;;0,75;;
Вино Limelight Chardonnay Pinot Noir 0,75 л;1290;вино;;белое;;;0,75;;
Вино White Zinfandel, Beringer 2018 0,75 л;1327;вино;сша;розовое;;;0,75;;
Вино Micina – Cantine Cellaro 0,75 л;2071;вино;италия;красное;;;0,75;;
Вино Latitude 41 Sauvignon Blanc 0,75 л;2460;вино;новая зеландия;белое;;;0,75;;
Вино Rioja Muga Rose DOC 0,75 л;1698;вино;испания;розовое;;;0,75;;
Вино Shiraz – Catapult 0,75 л;1790;вино;австралия;красное;;;0,75;;
Вино Mount Hermon White – Hermon 0,75 л;1845;вино;израиль;белое;;;0,75;;
Вино Mount Hermon White – Hermon 0,75 л;1845;вино;израиль;белое;;;0,75;;
Вино Rose – M de Minuty 0,75 л;1890;вино;франция;розовое;;;0.75л;;
Вино Red Blend – 19 Crimes 0,75 л;1960;вино;австралия;красное;;;0,75;;
Вино Banished – Dark Red – 19 Crimes 0,75 л;2191;вино;австралия;красное;;;0,75;;
Вино Grenache Shiraz Mataro – Baudinet Blend – Kilikanoon 0,75 л;3406;вино;австралия;красное;;;0,75;;
Вино Chianti Classico – Vespucci 1,5 л;2942;вино;италия;красное;;;1,5;;
Вино Franz Haas Sauvignon blan 0,75 л;3094;вино;италия;белое;;;0,75;;
Вино Хванчкара – Ломтадзе 0,75 л;3190;вино;грузия;красное;;;0,75;;
Вино Due Lune – Cantina Cellaro 0,75 л;4273;вино;италия;красное;;;0,75;;
Вино Rioja Muga Rose DOC 1,5 л;3602;вино;испания;розовое;;;1,5;;
Вино Kvareli Special Reserve Koncho & Co 0,75 л;3930;вино;грузия;красное;;;0,75;;
Вино Bianco Secco – Gavi – La Scolca 0,75 л;4086;вино;италия;белое;;;0,75;;
Вино il Bacca – Primitivo di Manduria – Luccarelli 0,75 л;5334;вино;италия;красное;;;0,75;;
Вино 2016 – Vintage Tunina – Jermann 0,75 л;10033;вино;италия;белое;;;0,75;;
Вино Vintage Tunina – Jermann 0,75 л;10033;вино;италия;белое;;;0,75;;
Вино 2017 – Chardonnay – Rossj-Bass – Angelo Gaja 0,75 л;11878;вино;италия;белое;;;0,75;;
Вино 2018 – Chardonnay – Rossj-Bass – Angelo Gaja 0,75 л;11878;вино;италия;белое;;;0,75;;
Вино Chateau Rieussec 2009 0,75 л;14992;вино;франция;белое;;;0,75;;
Вино 2014 – Sassicaia 0,375 л;16371;вино;италия;красное;;;0,375;;
Вино 2016 – Vintage Tunina – Jermann 1,5 л;22949;вино;италия;белое;;;1,5;;
Вино Vintage Tunina – Jermann 1,5 л;22949;вино;италия;белое;;;1,5;;
Вино 2017 – Sassicaia 0,75 л;27291;вино;италия;красное;;;0,75;;
Вино Шардоне - Номерной резерв - Фанагория 0,375 л;195;вино;россия;белое;;;0,375;;
Вино Cellier des Dauphins Prestige 0,25 л;336;вино;франция;белое;;;0,25;;
Вино Cellier des Dauphins Prestige 0,25 л;336;вино;франция;красное;;;0,25;;
Вино Шардоне - Номерной резерв - Фанагория 0,75 л;356;вино;россия;белое;;;0,75;;
Вино Совиньон - Номерной Резерв - Фанагория 0,75 л;356;вино;россия;белое;;;0,75;;
Вино Саперави - Номерной резерв - Фанагория 0,75 л;356;вино;россия;красное;;;0,75;;
Вино Vignerons de Provence Estandon Blanc Cotes de Provence AOC 2011 0,75 л;394;вино;франция;белое;;;0,75;;
Вино Караван Сарай 0,75 л;420;вино;азербайджан;красное;11;;0,75;;
Вино Матраса – Старый Баку 0,75 л;420;вино;азербайджан;красное;11;;0,75;;
Вино Bobal Grenache – Lirico 0,75 л;426;вино;испания;розовое;;;0,75;;
Вино Chardonnay – La Bamba 0,75 л;448;вино;аргентина;белое;12,5;;0,75;;
Вино Cabernet Sauvignon Merlot – Viento del Sur 0,75 л;466;вино;чили;красное;;;0,75;;
Вино Soleto Rosso Secco 0,75 л;468;вино;италия;красное;11;;0,75;;
Вино Red – Baron de Valls 0,75 л;469;вино;испания;красное;;;0,75;;
Вино Белое – Алазанская долина – ГРВ 0,75 л;470;вино;грузия;белое;11;;0,75;;
Вино Авторское Вино №1 – Фанагория 0,75 л;476;вино;россия;красное;;;0,75;;
Вино Rose – Cotes du Tarn – Les Granitiers 0,75 л;490;вино;франция;розовое;;;0,75;;
Вино Savanha Chardonnay 2012 0,75 л;510;вино;;белое;;;0,75;;
Вино Soave DOC Il Roccolo 2014 0,75 л;513;вино;италия;белое;;;0,75;;
Вино Blanc Sec – Chevalier Lacassan 0,75 л;515;вино;франция;белое;;;0,75;;
Вино Red Dry – Carnevale di Venezia – Natale Verga 0,75 л;517;вино;италия;красное;11;;0,75;;
Вино West Bay – Cabernet Sauvignon Merlot – Isla Negra 1 л;540;вино;чили;красное;;;1;;
Вино Достойный Премиум Резерв – Юбилейная 0,75 л;551;вино;россия;красное;;;0,75;;
Вино Semi Sweet White - Fair Exchange 0,75 л;738;вино;;белое;;;0,75;;
Вино Матраса – Старый Баку – керамическая бутылка 0,75 л;560;вино;азербайджан;красное;11;;0,75;;
Вино Semi Sweet Red - Fair Exchange 0,75 л;758;вино;;красное;;;0,75;;
Вино Ркацители - Кончо 0,75 л;590;вино;грузия;белое;;;0,75;;
Вино Rose – Casal Mendes 0,75 л;594;вино;португалия;розовое;10,5;;0,75;;
Вино Vinho Verde – Casal Mendes 0,75 л;594;вино;португалия;белое;;;0,75;;
Вино Soave – Ducento 0,75 л;796;вино;италия;белое;;;0,75;;
Вино African Pride Clipper Route Red 2015 0,75 л;605;вино;;красное;;;0,75;;
Вино Shiraz Merlot Pinotage – Cape Maclear 0,75 л;605;вино;;красное;;;0,75;;
Вино Blabla Rouge 0,75 л;610;вино;россия;красное;;;0,75;;
Вино La Passerelle Chardonnay 0,75 л;932;вино;франция;белое;;;0,75;;
Вино Cellier des Dauphins Merlot Grenache 0,75 л;616;вино;франция;красное;;;0,75;;
Вино Cellier des Dauphins Chardonnay Grenache 0,75 л;616;вино;франция;белое;;;0,75;;
Вино Mukuzani 0,75 л;640;вино;грузия;красное;;;0,75;;
Вино Venus – Haut Marin 0,75 л;642;вино;франция;белое;;;0,75;;
Вино Усадьба Перовских Розовое 2015 0,75 л;667;вино;россия;розовое;;;0,75;;
Вино Cabernet Sauvignon Bodegas Santa Ana 2014 0,75 л;680;вино;аргентина;красное;;;0,75;;
Вино Malbec – Santa Ana 0,75 л;680;вино;аргентина;красное;;;0,75;;
Вино Алиготе – Баккал Су – Валерий Захарьин 0,75 л;690;вино;россия;белое;;;0,75;;
Вино Le Grand Noir Malbec 0,75 л;690;вино;франция;красное;;;0,75;;
Вино Bianco – 4 volte 25 0,75 л;690;вино;италия;белое;13;;0,75;;
