title;price;type;country;color;alcohol;age;vol;raw;class
Вино Gran Castillo Tempranillo Valencia DOP 0,75 л;397;вино;испания;красное;;;0,75;;
Вино Valjean Blanc Moelleux 0,75 л;399;вино;франция;белое;10,5;;0,75;;
Вино Belle Arche Blanc Semi Sweet 0,75 л;399;вино;франция;белое;11;;0,75;;
Вино Valjean Blanc Moelleux 0,75 л;399;вино;франция;белое;10,5;;0,75;;
Вино Castillo de Gredos White;404;вино;испания;белое;;;1;;
Вино Кастильо де Гредос Красное;404;вино;испания;красное;;;1;;
Вино Villa Zvezda 7 0,7 л;540;вино;;белое;13;;0,7;;
Вино Le Tresor du Roi 0,75 л;406;вино;франция;красное;11;;0,75;;
Вино Rose – Mateus 0,25 л;408;вино;португалия;розовое;;;0,25;;
Вино Campo de la Mancha Airen 0,75 л;410;вино;испания;белое;;;0,75;;
Вино Campo de la Mancha Tempranillo 0,75 л;410;вино;испания;красное;;;0,75;;
Вино Campo de la Mancha Rosado 0,75 л;410;вино;испания;розовое;;;0,75;;
Вино Vino Zupa, Rizling, Tetra Pak 1 л;413;вино;сербия;белое;10,5;;1;;
Вино Cabernet Merlot Reserve 0,75 л;551;вино;россия;красное;;;0,75;;
Вино Viento del Sur Merlo 2015 DO 0,75 л;418;вино;чили;красное;;;0,75;;
Вино Vento DEL SUR SAUVIGNON BLAN 2015 DO 0,75 л;418;вино;чили;белое;;;0,75;;
Вино Cabernet Sauvignon – Viento del Sur 0,75 л;418;вино;чили;красное;;;0,75;;
Вино Chardonnay – Viento del Sur 0,75 л;418;вино;чили;белое;13,5;;0,75;;
Вино Los Llanos Senorio de Los Lianos White;419;вино;испания;белое;11;;0,75л;;
Вино Senorio de Los Llanos Rouge;419;вино;испания;красное;12,5;;0,75л;;
Вино Chateau Tamagne Cabernet de Tamagne 0,75 л;419;вино;россия;красное;;;0,75;;
Вино Юбилейная Премиум Резерв Совиньон Блан 0,75 л;420;вино;россия;белое;;;0,75;;
Вино Мускатель Белый Ливадия 0,75 л;422;вино;россия;красное;;;0,75;;
Вино Vranac 1 л;423;вино;сербия;красное;12;;1;;
Вино Pluvium Merseguera Sauvignon Blanc 2015 0,75 л;426;вино;испания;белое;;;0,75;;
Вино Bobal Cabernet Sauvignon – Lirico 0,75 л;426;вино;испания;красное;;;0,75;;
Вино Pluvium Bobal Cabernet Sauvignon 2015 0,75 л;426;вино;испания;красное;;;0,75;;
Вино Cabernet Sauvignon – Santa Cruz 0,75 л;429;вино;испания;красное;12;;0,75;;
Вино Chardonnay – Santa Cruz 0,75 л;429;вино;испания;белое;11,5;;0,75;;
Вино Cabernet Sauvignon – Ducento 0,75 л;431;вино;италия;красное;;;0,75;;
Вино Dugladze Alazani Valley 0,75 л;435;вино;грузия;красное;;;0,75;;
Вино Don Simon 1 л;437;вино;испания;белое;11;;1;;
Вино Chardonnay – Valle Calda 0,75 л;448;вино;италия;белое;;;0,75;;
Вино Merlot – Tocornal – Cono Sur 0,75 л;448;вино;чили;красное;;;0,75;;
Вино Cape Diamond Chenin Blanc 2016 0,75 л;448;вино;;белое;;;0,75;;
Вино Cape Diamond Ruby Cabernet 2016 0,75 л;448;вино;;красное;;;0,75;;
Вино Белое – Коллекция Эрмитажа – Ликурия 0,75 л;448;вино;россия;белое;;;0,75;;
Вино Merlot – Valle Calda 0,75 л;448;вино;италия;красное;;;0,75;;
Вино Белое – Джан 0,75 л;450;вино;армения;белое;;;0,75;;
Вино Identidade Rosado Vinho Verde;450;вино;португалия;розовое;;;0.75;;
Вино Identidade Vinho Verde;450;вино;португалия;белое;;;0.75;;
Вино Inkerman Stary Krym Bastardo 0,75 л;452;вино;россия;красное;;;0,75;;
Вино Tempranillo – Followers 0,75 л;453;вино;испания;красное;13;;0,75;;
Вино Syrah – Followers 0,75 л;453;вино;испания;красное;13;;0,75;;
Вино Pridelands Pinotage Cinsault;457;вино;;красное;;;0,75л;;
Вино Ponderado Cabernet Sauvignon 0,75 л;458;вино;чили;красное;12;;0,75;;
Вино Ponderado Sauvignon Blanc 0,75 л;458;вино;чили;белое;12;;0,75;;
Вино Merlot – Peyror 0,75 л;459;вино;франция;красное;;;0,75;;
Вино Chateau Tamagne Select Rouge 0,75 л;459;вино;россия;красное;;;0,75;;
Вино Reserva – Campo Herido 0,75 л;460;вино;;красное;;;0,75;;
Вино La Belleza Merlot 0,75 л;460;вино;испания;красное;12;;0,75;;
Вино Белое – Ликурия 0,75 л;461;вино;россия;белое;;;0,75;;
Вино Красное – Ликурия 0,75 л;461;вино;россия;красное;;;0,75;;
Вино Merlot IGT Il Roccolo 0,75 л;464;вино;италия;красное;;;0,75;;
Вино Inzolia – Il Roccolo 0,75 л;465;вино;италия;белое;;;0,75;;
Вино Trapiche Astica Cabernet Sauvignon 2013 0,75 л;468;вино;аргентина;красное;;;0,75;;
Вино Rouge Demi-Doux – Cuvee Saint Christophe 0,75 л;468;вино;франция;красное;;;0,75;;
Вино Шардоне – Абрау 0,75 л;468;вино;россия;белое;;;0,75;;
Вино White – Baron de Valls 0,75 л;469;вино;испания;белое;;;0,75;;
Вино Ca Bianca Arneis Roero DOCG 2011 0,75 л;473;вино;италия;белое;;;0,75;;
Вино Fresh White Blend – Monte Seco 0,75 л;475;вино;португалия;белое;;;0,75;;
Вино Marques de Fuego Tinto Semidulce 0,75 л;475;вино;испания;красное;11;;0,75;;
Вино Marques de Fuego Tinto Seco 0,75 л;475;вино;испания;красное;11;;0,75;;
Вино Marques de Fuego Tinto Semidulce 0,75 л;475;вино;испания;красное;11;;0,75;;
Вино Marques de Fuego Blanco Semidulce 0,75 л;475;вино;;белое;11;;0,75;;
Вино Marques de Fuego Blanco Semidulce 0,75 л;475;вино;;белое;11;;0,75;;
Вино Marques de Fuego Tinto Seco 0,75 л;475;вино;испания;красное;11;;0,75;;
Вино Gluhwein – Peter Mertes 1 л;477;вино;германия;красное;8,5;;1;;
Вино Marques de Rocas 0,75 л;477;вино;испания;красное;12;;0,75;;
Вино Blanco – Marques de Rocas 0,75 л;477;вино;испания;белое;12;;0,75;;
Вино Marques de Rocas 0,75 л;477;вино;испания;розовое;10,5;;0,75;;
Вино Red Dry – Lettres de France – Maison Bouey 0,75 л;477;вино;франция;красное;;;0,75;;
Вино Barbera d’Asti, Galadino 0,75 л;479;вино;италия;красное;;;0,75;;
Вино Trebbiano Rubicone IGT Il Roccolo 0,75 л;479;вино;италия;белое;;;0,75;;
Вино Bardolino, Galadino 0,75 л;479;вино;италия;красное;;;0,75;;
Вино Каберне Розовое - Номерной резерв - Фанагория 0,75 л;480;вино;россия;розовое;;;0,75;;
Вино Rosso Semidolce – Falconardi 0,75 л;481;вино;италия;красное;;;0,75;;
Вино Bianco Semidolce – Falconardi 0,75 л;481;вино;италия;белое;10;;0,75;;
Вино Valdemoreda Blanco 2015 0,75 л;482;вино;испания;белое;;;0,75;;
Вино Cabernet Sauvignon – Il Roccolo 0,75 л;484;вино;италия;красное;;;0,75;;
Вино Trebbiano d`Abruzzo Frassinо DOC 0,75 л;485;вино;италия;белое;;;0,75;;
Вино Bodegas San Valero Castillo de Monseran Tinto Carinena 0,75 л;485;вино;испания;красное;;;0,75;;
Вино Bodegas San Valero Castillo de Monseran Tinto Carinena 0,75 л;485;вино;испания;красное;;;0,75;;
Вино Semi-sweet – Rich Red Blend – Monte Seco 0,75 л;490;вино;португалия;красное;;;0,75;;
Вино Caleo Primitivo;490;вино;италия;красное;;;0,75л;;
Вино Casa De Campo Blanco 0,7 л;490;вино;аргентина;белое;;;0,7;;
Вино Soave – Casa Lunardi 0,75 л;490;вино;италия;белое;;;0,75;;
Вино Caleo Soave;490;вино;италия;белое;;;0,75л;;
Вино Semi-sweet – Fresh White Blend – Monte Seco 0,75 л;490;вино;португалия;красное;;;0,75;;
Вино Casa De Campo Tinto 0,7 л;490;вино;аргентина;красное;;;0,7;;
Вино Каберне Совиньон - Гянджа Шараб 0,75 л;490;вино;азербайджан;красное;13;;0,75;;
Вино Valdichiana Toscana Bianco Vergine – Le Seianti 0,75 л;490;вино;италия;белое;;;0,75;;
Вино Sanvigilio Merlot Delle Venezie – Cavit 0,375 л;490;вино;италия;красное;;;0,375;;
Вино Cabernet Sauvignon – Casa Lunardi 0,75 л;490;вино;италия;красное;13;;0,75;;
Вино Batitu Classic Cabernet Sauvignon 2015 0,75 л;490;вино;чили;красное;;;0,75;;
Вино Bruni Garganega Pinot Grigio 0,75 л;490;вино;италия;белое;;;0,75;;
Вино Sarmientos Chardonnay – Tarapaca 0,75 л;491;вино;чили;белое;14;;0,75;;
Вино Pasqua Pinot Grigio delle Venezie 0,75 л;491;вино;италия;белое;12;;0,75;;
Вино Merlot – Sarmientos de Tarapaca 0,75 л;491;вино;чили;красное;13,5;;0,75;;
Вино Cabernet Sauvignon – Sarmientos de Tarapaca 0,75 л;491;вино;чили;красное;13;;0,75;;
Вино Los Molinos D.O. Valdepenas Rose;493;вино;испания;розовое;;;0,75л;;
Вино Los Molinos D.O. Valdepenas Red;493;вино;испания;красное;;;0,75л;;
Вино Los Molinos D.O. Valdepenas;493;вино;испания;белое;;;0,75л;;
Вино Cabernet Sauvignon Reserva – Viento del Sur 0,75 л;494;вино;чили;красное;;;0,75;;
Вино Cevico Altisano Rosso Semidolce 0,75 л;495;вино;италия;красное;10,5;;0,75;;
Вино Каберне – Премиум – Крымское 0,75 л;495;вино;россия;красное;;;0,75;;
Вино Красное – Премиум – Крымское 0,75 л;495;вино;россия;красное;;;0,75;;
Вино Cevico Altisano Bianco Secco 0,75 л;495;вино;италия;белое;10,5;;0,75;;
Вино Шардоне – Премиум – Крымское 0,75 л;495;вино;россия;белое;;;0,75;;
Вино Cevico Altisano Bianco Semidolce 0,75 л;495;вино;италия;белое;10;;0,75;;
Вино Cevico Altisano Rosso Secco 0,75 л;495;вино;италия;красное;11;;0,75;;
Вино Белое – Премиум – Крымское 0,75 л;495;вино;россия;белое;;;0,75;;
Вино Liebfraumilch 0,75 л;498;вино;германия;белое;;;0,75;;
Вино Tinto Seco – Carranc 0,75 л;499;вино;испания;красное;11;;0,75;;
Вино Blanco Seco – Carranc 0,75 л;499;вино;испания;белое;11;;0,75;;
Вино Marques Bregal AOC 2014 0,75 л;499;вино;испания;белое;;;0,75;;
Вино Пино Нуар – Бухта Омега 0,75 л;499;вино;россия;красное;;;0,75;;
Вино Каберне – Специальный Тираж – Бухта Омега 0,75 л;499;вино;россия;красное;;;0,75;;
Вино Достойный Резерв – Юбилейная 0,75 л;500;вино;россия;красное;;;0,75;;
Вино Red – Quinta das Amoras 0,75 л;500;вино;португалия;красное;;;0,75;;
Вино Rouge Moelleux – Cellier du Vosc Cuvee Prestige 0,75 л;502;вино;франция;красное;;;0,75;;
Вино Rouge Sec – Cellier du Vosc Cuvee Prestige 0,75 л;502;вино;франция;красное;11;;0,75;;
Вино Negroamaro – Il Roccolo 0,75 л;503;вино;италия;красное;;;0,75;;
Вино Merlo – Ducento 0,75 л;722;вино;италия;красное;;;0,75;;
Вино Valencia Castillo de Liria 2015 DO 0,75 л;504;вино;испания;белое;;;0,75;;
Вино Terre Siciliane Ca’di Ponti Grillo 2015 IGT 0,75 л;504;вино;италия;белое;;;0,75;;
Вино Valencia Castillo de Liria Viura-Sauvignon Blanc DO 0,75 л;504;вино;испания;белое;;;0,75;;
Вино Valencia “Marques del Turia” Bobal-Syrah 2015 DO 0,75 л;504;вино;испания;красное;;;0,75;;
Вино Castillo de Liria Bobal Shiraz 2015 0,75 л;504;вино;испания;красное;;;0,75;;
Вино Tinto Semidulce– Carranc 0,75 л;509;вино;испания;красное;11;;0,75;;
Вино Blanco Semidulce – Carranc 0,75 л;509;вино;испания;белое;11;;0,75;;
Вино Gewurztraminer – Peter Mertes 0,75 л;509;вино;германия;белое;10;;0,75;;
Вино Элибо Напареули 0,75 л;510;вино;грузия;красное;13,5;;0,75;;
Вино Blanc Moelleux – Cellier du Vosc Cuvee Prestige 0,75 л;510;вино;франция;белое;;;0,75;;
Вино Savahna Cabernet Sauvignon 2013 0,75 л;510;вино;;красное;;;0,75;;
Вино Chateau Tamagne 0,75 л;510;вино;россия;белое;;;0,75;;
Вино Nero d’Avola – Il Roccolo 0,75 л;511;вино;италия;красное;;;0,75;;
Вино Blanco – Campo Herido 0,75 л;512;вино;аргентина;белое;;;0,75;;
Вино Достойный Классик – Юбилейная 0,75 л;513;вино;россия;красное;;;0,75;;
Вино Merlot Premium Jubilejnaja winery 0,75 л;513;вино;россия;красное;;;0,75;;
Вино Georgian Gen Alazani Valley;515;вино;грузия;белое;;;0,75л;;
Вино Varga Kékfrankos;515;вино;венгрия;красное;12;;0,75л;;
Вино Tai Pinot Grigio – Villa Alba 0,75 л;515;вино;италия;белое;;;0,75;;
Вино Branco – Va Bene – Casa Santos Lima 0,75 л;515;вино;португалия;белое;;;0,75;;
Вино Tinto – Va Bene – Casa Santos Lima 0,75 л;515;вино;португалия;красное;;;0,75;;
Вино White Dry – Carnevale di Venezia – Natale Verga 0,75 л;517;вино;италия;белое;;;0,75;;
Вино Becaccia Bianco 1 л;518;вино;италия;белое;;;1;;
Вино Becaccia Rosso 1 л;520;вино;италия;красное;11,5;;1;;
Вино IL VALORE TREBIANO D’ABRUZZO 0,75 л;520;вино;италия;белое;;;0,75;;
Вино Sauvignon Blanc – Traversa 0,75 л;520;вино;уругвай;белое;13;;0,75;;
Вино Tannat – Traversa 0,75 л;520;вино;уругвай;красное;12,5;;0,75;;
Вино Estratego Real Seleccion Blanco – Dominio de Eguren 0,75 л;521;вино;испания;белое;;;0,75;;
Вино Lambrusco dell`Emilia red sweet IGT 0,75 л;522;вино;италия;красное;8;;0,75;;
Вино Rkatsiteli Metekhi 0,75 л;530;вино;грузия;белое;12,9;;0,75;;
Вино Red Semi-sweet – Carnevale di Venezia – Natale Verga 0,75 л;532;вино;италия;красное;;;0,75;;
Вино White Semi-sweet – Carnevale di Venezia – Natale Verga 0,75 л;532;вино;италия;белое;;;0,75;;
Вино Pearly Bay Sweet White 0,75 л;554;вино;юар;белое;;;0,75;;
Вино Pizza Pasta Vino di Altobello;535;вино;италия;белое;12;;0,75;;
Вино IL VALORE MONTEPULCHANO 0,75 л;535;вино;италия;красное;;;0,75;;
Вино Merlot – Selection – Kressmann 0,75 л;536;вино;франция;красное;;;0,75;;
Вино Robertson Winery Natural Sweet wine 0,75 л;538;вино;;красное;9;;0,75;;
Вино Merlot. Castilla. Casa del Tiempo 0,75 л;718;вино;испания;красное;;;0,75;;
Вино Verdejo, Casa del Tiempo 0,75 л;718;вино;испания;белое;;;0,75;;
Вино Cabernet Sauvignon – Casa del Tiempo 0,75 л;718;вино;испания;красное;;;0,75;;
Вино Isola Grillo – Sicilia – Castellani 0,75 л;540;вино;италия;белое;;;0,75;;
Вино White – Isla Nerga 1 л;540;вино;чили;белое;12;;1;;
Вино Soave – Folonari 0,75 л;541;вино;италия;белое;;;0,75;;
Вино Merlot Cabernet Sauvignon delle Venezie – Folonari 0,75 л;541;вино;италия;красное;;;0,75;;
Вино African Passion Cabernet Sauvignon 0,75 л;543;вино;;красное;;;0,75;;
Вино Pegaso Verdejo;544;вино;испания;белое;;;0,75;;
Вино Pegaso Garnacha;544;вино;испания;красное;;;0,75;;
Вино Estratego Real Seleccion Rosado – Dominio de Eguren 0,75 л;545;вино;испания;розовое;;;0,75;;
Вино Varga Tokaji Hárslevelű;545;вино;венгрия;белое;10,5;;0,75л;;
Вино Estratego Real Tinto – Dominio de Eguren 0,75 л;545;вино;испания;красное;;;0,75;;
Вино Torre Abaldo Tinto – Dominio de Eguren 0,75 л;545;вино;испания;красное;;;0,75;;
Вино Galateo Pino Grigio;545;вино;италия;белое;;;0,75;;
Вино Алазанская Долина – Белое – Картули Вази 0,75 л;812;вино;грузия;белое;;;0,75;;
Вино Moreau & Fils, Rouge 0,75 л;548;вино;франция;красное;;;0,75;;
Вино J.Moreau & Fils Rouge 0,75 л;548;вино;франция;красное;;;0,75;;
Вино Dry – Rich Red Blend – Monte Seco 0,75 л;549;вино;португалия;красное;;;0,75;;
Вино Pirosmani - Georgia 0,75 л;550;вино;грузия;красное;12,5;;0,75;;
Вино Malbec Syrah – Comte Tolosan – Maison Bouey 0,75 л;550;вино;франция;красное;;;0,75;;
Вино Cabernet Sauvignon Merlot – Isla Negra 0,75 л;550;вино;чили;красное;;;0,75;;
Вино Юбилейная Шардоне Премиум Резерв 0,75 л;551;вино;россия;белое;;;0,75;;
Вино Cabernet Franc Premium Reserve 0,75 л;551;вино;россия;розовое;;;0,75;;
Вино Merlot Premium Reserve 0,75 л;551;вино;россия;красное;;;0,75;;
Вино Алиготе Премиум Резерв 0,75 л;551;вино;россия;белое;;;0,75;;
Вино Muscat Premium Reserve 0,75 л;551;вино;россия;белое;;;0,75;;
Вино Юбилейная Премиум Резерв Мускат 0,75 л;551;вино;россия;белое;13,2;;0,75;;
Вино Cabernet Sauvignon Premium Reserve 0,75 л;551;вино;россия;красное;;;0,75;;
Вино Varga Olaszrizling;553;вино;венгрия;белое;;;0,75л;;
Вино LAMBRUSCO GIACOBAZZI 0,75 л;556;вино;италия;красное;;;0,75;;
Вино Merlot - Fair Exchange 0,75 л;556;вино;;красное;;;0,75;;
Вино Termo de Lisboa – Casa Santos Lima 0,75 л;557;вино;португалия;красное;;;0,75;;
Вино Cabernet Sauvignon – Reserve Saint Marc – Le Vignobles Foncalieu 0,75 л;557;вино;франция;красное;;;0,75;;
Вино Bardolino – Folonari 0,75 л;557;вино;италия;красное;;;0,75;;
Вино Sauvignon – Reserve Saint Marc – Le Vignobles Foncalieu 0,75 л;557;вино;франция;белое;;;0,75;;
Вино Sangiovese Marche – Decordi 0,75 л;559;вино;италия;красное;;;0,75;;
Вино Negroamaro Puglia – Decordi 0,75 л;559;вино;италия;красное;;;0,75;;
Вино Fray Leon Carmenere 2015 0,75 л;560;вино;чили;красное;;;0,75;;
Вино Fray Leon Sauvignon Blanc Semi Sweet 2014 0,75 л;560;вино;чили;белое;;;0,75;;
Вино Rose – Gascogne – Cuvee Jean-Paul 0,75 л;560;вино;франция;розовое;;;0,75;;
Вино Trabbiano d’Abruzzo – Rocca Ventosa – Cantina Tollo 0,75 л;560;вино;италия;белое;;;0,75;;
Вино VILLA LUCIA TOSCANA 0,75 л;565;вино;италия;белое;;;0,75;;
Вино Chardonnay – Selection – Kressmann 0,75 л;567;вино;франция;белое;;;0,75;;
Вино Chenin Blanc - Fair Exchange 0,75 л;758;вино;;белое;;;0,75;;
Вино Bardolino Chiaretto – Serenissima 0,75 л;568;вино;италия;розовое;;;0,75;;
Вино Joseph Verdier Le Chabrot Rouge Sec 0,75 л;569;вино;франция;красное;11;;0,75;;
Вино Pictor Sauvignon Blanc – MontGras 0,75 л;569;вино;чили;белое;;;0,75;;
Вино Las Paz Cabernet Sauvignon – MontGras 0,75 л;569;вино;чили;красное;;;0,75;;
Вино Blanc Sec – Cuvee Speciale – Verdier 0,75 л;569;вино;франция;белое;11;;0,75;;
Вино Rouge Sec – Cuvee Speciale – Verdier 0,75 л;569;вино;франция;красное;11;;0,75;;
Вино Trapiche Vineyards Cabernet Sauvignon 2016 0,75 л;573;вино;аргентина;красное;;;0,75;;
Вино Trapiche Vineyards Chardonnay 2015 0,75 л;573;вино;аргентина;белое;;;0,75;;
Вино Vino Rosso Secco 0,75 л;575;вино;италия;красное;12;;0,75;;
Вино Vino Bianco Secco Rasa 0,75 л;575;вино;италия;белое;12;;0,75;;
Вино Vino Rosso Amabile 0,75 л;575;вино;италия;красное;12;;0,75;;
Вино Vino Bianco Amabile Rasa 0,75 л;575;вино;италия;белое;12;;0,75;;
Вино Verdier Cuvee Speciale 0,75 л;579;вино;франция;белое;;;0,75;;
Вино Rouge Moelleux – Cuvee Speciale – Verdier 0,75 л;579;вино;франция;красное;11;;0,75;;
Вино Gran Reserva – Campo Herido 0,75 л;580;вино;аргентина;красное;;;0,75;;
Вино Chardonnay – Reserve Saint Marc – Le Vignobles Foncalieu 0,75 л;581;вино;франция;белое;;;0,75;;
Вино Rio De La Luna Cabernet Sauvignon 0,75 л;581;вино;;красное;;;0,75;;
Вино Sauvignon Blanc - Fair Exchange 0,75 л;776;вино;;белое;;;0,75;;
Вино Undurraga Santiago 1541 Chardonnay 2014 0,75 л;583;вино;чили;белое;;;0,75;;
Вино Undurraga Santiago 1541 0,75 л;583;вино;чили;красное;13;;0,75;;
Вино Marchese Montefusco Nero d’Avola 2016 IGT 0,75 л;584;вино;италия;красное;;;0,75;;
Вино Insolia – Tenute di Maria 0,75 л;584;вино;италия;белое;;;0,75;;
Вино Marchese Montefusco Merlot 2016 IGT 0,75 л;584;вино;италия;красное;;;0,75;;
Вино Alteno Chianti 0,75 л;587;вино;италия;красное;;;0,75;;
Вино Marques De Arce;588;вино;испания;красное;;;0.75;;
Вино Famille Perrin Cotes du Rhone AOC Reserve 0,375 л;588;вино;франция;красное;;;0,375;;
Вино Stella Lambrusco Emilia IGT Fratelli Martini Secondo Luigi Spa 0,75 л;589;вино;италия;белое;;;0,75;;
Вино Vinho Verde Campelo;590;вино;португалия;белое;;;1;;
Вино Tinto – Gaião 0,75 л;590;вино;португалия;красное;;;0,75;;
Вино Алазанская долина красное – Мерани – Тифлисский Винный Погребъ 0,75 л;590;вино;грузия;красное;;;0,75;;
Вино Tempranillo Reserva – Tierra Imperial – Bodegas Verduguez 0,75 л;590;вино;испания;красное;;;0,75;;
Вино Blanc – Bonne Bouvelle 0,75 л;590;вино;франция;белое;;;0,75;;безалкогольное
Вино Rouge Moelleux – Comtesse de Lion 0,75 л;590;вино;франция;красное;11;;0,75;;
Вино Shiraz Malbec – Caracter 0,75 л;590;вино;аргентина;красное;;;0,75;;
Вино Kindzmarauli - Georgia 0,75 л;590;вино;грузия;красное;12,5;;0,75;;
Вино Egoista 0,75 л;590;вино;португалия;красное;;;0,75;;
Вино Shiraz – Bursting Barrel 0,75 л;590;вино;австралия;красное;13,5;;0,75;;
Вино Rouge Sec – Comtesse de Lion 0,75 л;590;вино;франция;красное;12;;0,75;;
Вино Tasari - Nero d'Avola Merlot 0,75 л;590;вино;италия;красное;13;;0,75;;
Вино Rouge – Bonne Bouvelle 0,75 л;590;вино;франция;красное;;;0,75;;безалкогольное
Вино Blanc Moelleux – Comtesse de Lion 0,75 л;590;вино;франция;белое;11;;0,75;;
Вино Nero d’Avola – Käfer 0,75 л;590;вино;италия;красное;13,5;;0,75;;
Вино Panarroz – Olivares 0,75 л;593;вино;испания;красное;;;0,75;;
Вино Pinotage – Massai 0,75 л;593;вино;;красное;;;0,75;;
Вино Terre Siciliane Ca’ di Ponti Catarratto 2015 IGT 0,75 л;594;вино;италия;белое;;;0,75;;
Вино Шато Южное Купаж №4 0,75 л;793;вино;;красное;;;0,75;;
Вино Алазанская Долина – Красное – Картули Вази 0,75 л;912;вино;грузия;красное;;;0,75;;
Вино Pinotage - Fair Exchange 0,75 л;797;вино;;красное;;;0,75;;
Вино Raices Crianza, Valdepenas DO, Bodegas Fernardo Castro 0,75 л;599;вино;испания;белое;;;0,75;;
Вино Shilda Saperavi Rose 0,75 л;600;вино;грузия;розовое;;;0.75л;;
Вино Clipper Route 2014 0,75 л;605;вино;;белое;12,5;;0,75;;
Вино Portas de Lisboa – Casa Santos Lima 0,75 л;605;вино;португалия;белое;;;0,75;;
Вино Macabeo – Vinas de Miedes 0,75 л;605;вино;испания;белое;;;0,75;;
Вино Garnacha – Vinas de Miedes 0,75 л;605;вино;испания;красное;;;0,75;;
Вино Jean-Paul Godinat 2014 AOC Touraine Sauvignon 0,75 л;605;вино;франция;розовое;;;0,75;;
Вино Viura – Vinas de Miedes 0,75 л;605;вино;испания;белое;;;0,75;;
Вино Merlot – Alma Valley 0,375 л;607;вино;россия;красное;;;0,375;;
Вино Bardolino Il Roccolo 0,75 л;607;вино;италия;красное;;;0,75;;
Вино Alma Valley Chardonnay 2015 0,375 л;607;вино;россия;белое;;;0,375;;
Вино Chardonnay – 3 Tres Medallas – Santa Rita 0,75 л;816;вино;чили;белое;;;0,75;;
Вино Merlot – 3 Tres Medallas – Santa Rita 0,75 л;816;вино;чили;красное;;;0,75;;
Вино Riunite, Lambrusco Rose, Emilia IGT 0,75 л;612;вино;италия;розовое;;;0,75;;
Вино Cabernet Sauvignon – 3 Tres Medallas – Santa Rita 0,75 л;816;вино;чили;красное;;;0,75;;
Вино Carmenere – 3 Tres Medallas – Santa Rita 0,75 л;816;вино;чили;красное;;;0,75;;
Вино Sauvignon Blanc – 3 Tres Medallas – Santa Rita 0,75 л;816;вино;чили;белое;;;0,75;;
Вино Alvi's Drift Chenin Blanc,;613;вино;юар;белое;;;0,75л;;
Вино Alvi's Drift Sauvignon Blanc;613;вино;юар;белое;;;0,75л;;
Вино Alvi's Drift Shiraz;613;вино;юар;красное;;;0,75л;;
Вино Alvi's Drift Merlot;613;вино;юар;красное;;;0,75л;;
Вино Alvi's Drift Viognier;613;вино;юар;белое;;;0,75л;;
Вино Alvi's Drift Cabernet Sauvignon;613;вино;юар;красное;;;0,75;;
Вино Alvi's Drift Pinotage Rose;613;вино;юар;розовое;;;0,75л;;
Вино Merlot – Tarapaca 0,75 л;614;вино;чили;красное;13,5;;0,75;;
Вино Sauvignon Blanc – Tarapaca 0,75 л;614;вино;чили;белое;12,5;;0,75;;
Вино Chardonnay – Tarapaca 0,75 л;614;вино;чили;белое;13;;0,75;;
Вино Pinot Grigio – Stemmari 0,75 л;614;вино;италия;белое;;;0,75;;
Вино Grillo – Stemmari 0,75 л;614;вино;италия;белое;;;0,75;;
Вино Carmenere – Tarapaca 0,75 л;614;вино;чили;красное;14;;0,75;;
Вино Cabernet Sauvignon – Tarapaca 0,75 л;614;вино;чили;красное;13,5;;0,75;;
Вино Chardonnay – Poker Face 0,75 л;615;вино;австралия;белое;;;0,75;;
Вино Chateau Entre-Deux-Mers AOC 2015 0,75 л;615;вино;франция;белое;;;0,75;;
Вино Umbria – Sangiovese – Bigi 0,75 л;615;вино;италия;красное;;;0,75;;
Вино Shiraz – Poker Face 0,75 л;615;вино;австралия;красное;;;0,75;;
Вино Rouge – Vaucluse – Cuvee Jean-Paul 0,75 л;616;вино;франция;красное;;;0,75;;
Вино Blanc de Blancs – Gascogne – Cuvee Jean-Paul 0,75 л;616;вино;франция;белое;;;0,75;;
Вино Cadis Chardonnay Veneto IGT 2015 0,75 л;616;вино;италия;белое;;;0,75;;
Вино Цинандали – Картули Вази 0,75 л;929;вино;грузия;белое;;;0,75;;
Вино Nero d` Avola Sicilia Frassinо IGT 2016 0,75 л;618;вино;италия;красное;;;0,75;;
Вино Rose – Coquelicot – Domaine Condamine Bertrand 0,75 л;619;вино;франция;розовое;12;;0,75;;
Вино Fragolino Bevandia Aromatizzata Base Vino Rossa 0,75 л;619;вино;италия;;7,5;;0,75;;
Вино Белое – Алазанская Долина – Братья Асканели 0,75 л;619;вино;грузия;белое;;;0,75;;
Вино Rouge – Coquelicot – Domaine Condamine Bertrand 0,75 л;619;вино;франция;красное;;;0,75;;
Вино Blanc – Coquelicot – Domaine Condamine Bertrand 0,75 л;619;вино;франция;белое;;;0,75;;
Вино Rosso Salento – Villa Alba 0,75 л;623;вино;италия;красное;;;0,75;;
Вино Soave – Villa Alba – Botter 0,75 л;623;вино;италия;белое;;;0,75;;
Вино Alvi's Drift Pinotage;624;вино;юар;красное;;;0,75л;;
Вино Pinot Grigio – Villa Alba 0,75 л;623;вино;италия;белое;;;0,75;;
Вино Cabernet Sauvignon - Fair Exchange 0,75 л;836;вино;;красное;;;0,75;;
Вино Rondone Grillo Settesoli 0,75 л;630;вино;италия;белое;;;0,75;;
Вино Chardonnay – Torre di Luna 0,75 л;630;вино;италия;белое;;;0,75;;
